auto fueleconomy.gov g_000 car_tank_size
38 38 38
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47292" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47290" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47300" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47301" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47291" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46764" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47305" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47297" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47299" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47293" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47295" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47303" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47296" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47294" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=46763" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47298" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47307" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47309" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47304" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47310" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47311" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47306" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47308" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47312" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47314" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47302" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47313" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47315" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47032" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47033" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47034" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47035" 1 17.6 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47014" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47018" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47016" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47015" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47017" 1 16.9 gallons
"https://www.fueleconomy.gov/feg/Find.do?action=sbs&id=47758" 1 16.9 gallons
